t,o,h,l,c,v,g1.ADX
1663279200000,19818.2,19818.2,19561.5,19721.0,24564.584,43.23735820444825
1663282800000,19721.1,19748.5,19625.2,19690.8,18241.417,45.43428290575799
1663286400000,19690.8,19779.1,19573.1,19778.0,23911.619,47.635841169976054
1663290000000,19778.0,19810.0,19695.6,19721.4,11489.515,49.321302216323836
1663293600000,19721.4,19757.9,19669.2,19742.6,11674.976,50.89746635577966
1663297200000,19742.6,19766.0,19682.7,19738.4,9129.209,52.13252789913572
1663300800000,19738.3,19849.6,19736.8,19811.8,14711.043,51.222176840826876
1663304400000,19811.8,19828.9,19735.1,19745.7,8674.02,49.23210682765366
1663308000000,19745.7,19797.8,19723.7,19755.2,8809.866,47.7454241503939
1663311600000,19755.2,19788.5,19715.1,19730.5,8542.428,47.51745140924284
1663315200000,19730.4,19750.0,19603.0,19679.1,24931.732,47.61924760767632
1663318800000,19679.1,19782.6,19679.1,19746.2,14933.246,46.803767896097334
1663322400000,19746.2,19831.7,19732.2,19786.2,15099.79,45.50710061389752
1663326000000,19786.1,19878.0,19764.6,19856.0,17960.14,44.142475533336984
1663329600000,19856.1,19863.1,19670.0,19682.0,24517.162,41.71077404585007
1663333200000,19682.0,19767.4,19385.2,19519.3,62316.857,41.62402305970504
1663336800000,19519.4,19790.0,19490.0,19653.3,59574.082,40.99199216623905
1663340400000,19653.3,19730.5,19564.2,19653.3,31744.023,40.77990451575561
1663344000000,19653.3,19653.3,19452.0,19526.4,34852.861,41.02071164557989
1663347600000,19526.4,19547.9,19300.0,19435.3,56545.872,41.926168919723516
1663351200000,19435.2,19572.4,19366.9,19549.5,28411.22,43.448127982637914
1663354800000,19549.6,19641.4,19543.5,19605.9,19253.175,44.06810942741042
1663358400000,19605.9,19748.9,19602.8,19746.6,16907.376,43.56207308838573
1663362000000,19746.7,19819.5,19700.5,19736.5,17148.116,42.47286069521572
1663365600000,19736.6,19764.6,19685.3,19719.1,12837.937,41.002452183815706
1663369200000,19719.1,19794.2,19683.0,19792.5,10632.539,39.66130167664942
1663372800000,19792.4,20068.8,19757.6,19937.7,36536.012,36.90561606453302
1663376400000,19937.7,20048.6,19935.5,19990.6,16854.075,34.612666851069385
1663380000000,19990.5,20000.0,19860.0,19898.0,17009.245,32.37860181891708
1663383600000,19898.0,19915.9,19868.3,19875.0,6657.432,31.890333913897376
1663387200000,19875.1,19985.0,19870.2,19927.1,11826.081,31.684295860064115
1663390800000,19927.2,19927.2,19808.0,19849.9,15663.034,30.953281453056544
1663394400000,19850.0,19870.0,19775.0,19829.4,10367.53,30.97356715192971
1663398000000,19829.3,19856.4,19790.5,19834.0,8433.305,32.707451911041105
1663401600000,19834.1,19885.4,19834.0,19869.0,8138.349,34.334708621094556
1663405200000,19868.9,19907.5,19852.5,19867.5,7419.309,35.65660067399815
1663408800000,19867.5,19891.4,19802.1,19855.1,9181.215,35.636511979413605
1663412400000,19855.1,19861.6,19800.0,19800.8,6106.277,35.095529983125594
1663416000000,19800.8,19866.6,19739.4,19849.6,16737.126,34.00678847204624
1663419600000,19849.5,19900.0,19836.0,19889.7,9913.064,33.02636778664324
1663423200000,19889.8,19944.5,19861.4,19912.8,15731.162,31.93761098523464
1663426800000,19912.8,20019.0,19867.9,19951.6,16642.556,29.800134509910556
1663430400000,19951.7,20182.6,19926.0,20118.8,42915.77,30.197320956587113
1663434000000,20118.8,20167.9,20034.9,20070.8,16990.748,30.566136942786773
1663437600000,20070.9,20092.0,20015.2,20060.0,9522.606,30.05242879113729
1663441200000,20059.9,20067.4,19966.9,20001.2,9974.393,29.78617281662533
1663444800000,20001.1,20078.0,19974.0,20068.8,9322.678,30.171627186968642
1663448400000,20068.8,20083.5,19930.0,20026.1,13523.833,29.824739227410305
1663452000000,20026.0,20128.5,20013.5,20116.4,11554.804,29.64056379178357
1663455600000,20116.4,20137.0,20085.1,20102.0,7657.954,29.352764102567807
1663459200000,20102.0,20105.3,19950.0,19974.0,17969.924,27.983986851790142
1663462800000,19974.0,20046.5,19964.1,19988.2,9547.703,26.737010347338988
1663466400000,19988.1,20038.0,19988.1,20026.5,4808.151,26.341892261304576
1663470000000,20026.4,20029.4,19938.4,19990.9,10520.663,25.014219082244825
1663473600000,19991.0,20022.6,19941.6,20004.0,6956.802,23.29188218381119
1663477200000,20003.9,20074.8,19989.2,20059.6,6570.142,21.837495345469375
1663480800000,20059.7,20087.6,20022.5,20031.1,6991.348,23.090205695377897
1663484400000,20031.0,20076.9,20023.4,20041.2,6038.315,24.25343673457866
1663488000000,20041.3,20093.9,20013.3,20042.6,8606.072,24.732093494963173
1663491600000,20042.6,20065.2,19805.0,19824.5,33705.348,26.529595341148926
1663495200000,19824.5,20039.1,19750.1,19909.5,45516.791,28.69267774563713
1663498800000,19909.5,19942.1,19871.2,19915.2,11079.357,30.46863839387077
1663502400000,19915.2,20019.0,19854.5,19976.6,18726.34,31.549189943665503
1663506000000,19976.7,20006.2,19926.0,19955.7,13366.246,32.69821386184324
